date,ticker,n_comments,sentiment,users_holding,users_holding_lead,users_holding_lag,percent_change
2020-04-24,ASM,0,none,10067,10090,10035,0.00548081714001003
2020-05-19,NEE,0,none,9207,9283,9164,0.012985595809690054
2020-04-09,NOVN,0,none,10788,10736,10891,-0.014231934624919673
2020-03-24,SOGO,0,none,3851,3845,3856,-0.0028526970954356745
2020-05-18,MNKD,0,none,10844,10793,10833,-0.003692421305270921
2020-04-07,GNC,0,none,16576,17133,16066,0.06641354413046185
2020-04-28,ENSV,0,none,15564,15439,15701,-0.016686835233424624
2020-04-10,DEAC,0,none,7299,7317,7300,0.0023287671232876672
2020-04-08,SOGO,0,none,3816,3803,3811,-0.0020991865652060238
2020-03-13,VTIQ,0,none,5213,5220,5224,-7.656967840734552e-4
2020-03-23,NEX,0,none,1350,1453,1277,0.13782302270947544
2020-05-28,NOG,0,none,42206,43040,42077,0.022886612638733705
2020-03-21,MNLO,0,none,384,385,383,0.005221932114882533
2020-03-13,RBS,0,none,7966,8001,7951,0.006288517167651886
2020-04-23,CRC,0,none,8499,8924,8300,0.07518072289156619
2020-05-14,CLNE,0,none,9766,9778,9784,-6.132461161079128e-4
2020-03-24,FTR,0,none,8460,8471,8444,0.003197536712458593
2020-04-24,FSLR,0,none,11169,11194,11117,0.006926329045605861
2020-04-02,CLSN,0,none,1390,1390,1393,-0.002153625269203152
2020-04-14,ENSV,0,none,11718,11761,11724,0.0031559194814057
2020-05-02,VTIQ,0,none,6360,7188,6360,0.1301886792452831
2020-03-03,BKYI,0,none,975,972,976,-0.004098360655737654
2020-03-24,FE,0,none,1002,1024,997,0.027081243731193583
2020-05-26,KNDI,0,none,2420,2407,2421,-0.0057827344072697295
2020-03-09,BEP,0,none,6189,6162,6229,-0.01075614063252528
2020-05-19,KNDI,0,none,2426,2423,2422,4.1288191577204536e-4
2020-04-09,BTE,0,none,8996,9111,8942,0.018899575039141192
2020-04-03,NVTA,0,none,13165,13204,13168,0.0027339003645201476
2020-03-19,CDEV,0,none,3354,3362,3345,0.005082212257100149
2020-04-18,TCEHY,0,none,45141,45682,45144,0.011917419812156549
2020-04-09,NBY,0,none,5384,5303,5474,-0.03123858238947752
2020-03-08,HUSA,0,none,24577,25131,24577,0.022541400496399078
2020-04-05,UONE,0,none,1060,1069,1060,0.008490566037735903
2020-05-05,CIDM,0,none,1246,1245,1245,0
2020-03-30,WPX,0,none,4406,4541,3957,0.14758655547131672
2020-05-05,NOVA,0,none,11847,11861,11780,0.0068760611205433975
2020-05-08,SINT,0,none,4512,4497,4621,-0.026834018610690347
2020-05-02,VLO,0,none,14308,14428,14310,0.008245981830887539
2020-05-05,ORC,0,none,15979,16017,15953,0.00401178461731333
2020-04-24,CRC,0,none,8787,8924,8499,0.05000588304506404
2020-05-26,NSANY,0,none,10223,10504,10038,0.046423590356644784
2020-03-28,RHHBY,0,none,17726,17782,17728,0.0030460288808664693
2020-03-12,OVID,0,none,5637,5628,5714,-0.015050752537626888
2020-05-27,SPYG,0,none,17615,17730,17550,0.01025641025641022
2020-03-20,EQ,0,none,123,122,120,0.016666666666666607
2020-05-06,TNXP,0,none,12648,13603,12779,0.06448078879411545
2020-04-23,NAKD,0,none,8636,10176,8623,0.18009973327148332
2020-04-17,NTDOY,0,none,61204,61417,60763,0.010763128877770978
2020-04-17,GSAT,0,none,12194,12236,12114,0.010070992240382992
2020-04-02,BLDP,0,none,6310,6342,6313,0.00459369554886746
2020-04-26,VIG,0,none,8063,8144,8064,0.009920634920634885
2020-04-02,PLM,0,none,8206,8217,8207,0.0012184720360668422
2020-04-20,DGLY,0,none,1815,1792,1823,-0.017004936917169533
2020-03-13,TWO,0,none,6395,6409,6364,0.0070710245128848825
2020-04-24,HLX,0,none,18150,18405,17757,0.036492650785605596
2020-03-24,NSPR,0,none,2139,2198,2129,0.03240958196336319
2020-03-20,BTG,0,none,25794,26111,25416,0.027344979540447012
2020-03-07,S,0,none,92595,91681,92600,-0.00992440604751621
2020-03-07,SHLL,0,none,36,36,36,0
2020-04-15,BLU,0,none,840,850,843,0.008303677342823335
2020-05-20,CPE,0,none,89925,91831,89415,0.02702007493149927
2020-04-27,VXRT,0,none,21277,20819,20810,4.3248438250831356e-4
2020-05-10,NSANY,0,none,9572,9612,9573,0.004073958006894474
2020-05-03,EADSY,0,none,25878,25882,25881,3.863838337014869e-5
2020-03-28,CPG,0,none,1583,1661,1583,0.04927353126974099
2020-03-18,ACST,0,none,6642,6929,6572,0.05432136335970794
2020-05-11,MGI,0,none,8730,8784,8688,0.011049723756906049
2020-04-24,NVTA,0,none,15050,15116,15057,0.003918443248987158
2020-04-30,RRR,0,none,6653,7055,6423,0.09839638798069439
2020-03-23,OGEN,0,none,52497,52104,52031,0.0014030097441910527
2020-03-19,PHUN,0,none,2790,2641,2502,0.05555555555555558
2020-05-13,SNSS,0,none,5100,5101,5098,5.884660651236384e-4
2020-04-20,FUV,0,none,3339,3327,3334,-0.0020995800839832546
2020-04-23,UGAZ,0,none,11689,13281,10886,0.22000734888848061
2020-04-28,GRAF,0,none,25,26,24,0.08333333333333326
2020-04-26,DGLY,0,none,1840,1861,1840,0.011413043478260887
2020-03-26,JAGX,0,none,4358,4475,4315,0.037079953650057895
2020-05-01,PACD,0,none,30810,31225,30145,0.03582683695471878
2020-03-16,ADXS,0,none,11094,11174,10954,0.020083987584444074
2020-03-05,NXTD,0,none,13906,13847,13825,0.001591320072332758
2020-04-17,RRR,0,none,5233,5469,5059,0.081043684522633
2020-05-28,IGT,0,none,14787,14749,14568,0.012424492037342194
2020-04-14,NAK,0,none,19374,19307,19356,-0.002531514775780175
2020-05-14,OXLC,0,none,10998,11381,10935,0.04078646547782361
2020-04-17,TXMD,0,none,20072,20488,19815,0.03396416855917228
2020-03-26,TGB,0,none,6636,6730,6600,0.01969696969696977
2020-04-21,TRVN,0,none,8070,8096,8063,0.004092769440654953
2020-05-22,ABUS,0,none,2615,2615,2716,-0.03718703976435933
2020-05-13,BLU,0,none,948,967,932,0.037553648068669565
2020-04-29,VXRT,0,none,20819,21510,21188,0.015197281480083147
2020-03-20,INPX,0,none,25723,25930,25433,0.01954154051822443
2020-04-21,CARV,0,none,499,499,500,-0.0020000000000000018
2020-04-30,VSTM,0,none,28931,30134,29038,0.03774364625662918
2020-03-16,ORC,0,none,12932,13158,12849,0.02404856409059075
2020-03-24,CPG,0,none,1390,1523,1316,0.1572948328267476
2020-04-24,TRTX,0,none,19465,19193,19568,-0.01916394112837283
2020-03-23,CPHI,0,none,14094,13866,14029,-0.01161878965001073
2020-05-17,INUV,0,none,5905,6695,5908,0.13320920785375767
2020-05-19,ROYT,0,none,10504,10546,10506,0.0038073481819911326
2020-05-19,NOVN,0,none,11219,13775,11247,0.2247710500577933
2020-03-14,ADMA,0,none,3100,3094,3101,-0.0022573363431150906
2020-05-08,ADMP,0,none,4940,4887,5057,-0.033616768835277866
2020-03-19,OPES,0,none,3,4,3,0.33333333333333326
2020-04-11,SNSS,0,none,4992,4985,4992,-0.0014022435897436125
2020-04-27,WATT,0,none,9515,9281,9730,-0.04614594039054476
2020-04-04,ZYNE,0,none,27389,27560,27389,0.00624338237978761
2020-04-17,MTDR,0,none,14895,14906,15015,-0.007259407259407213
2020-03-20,TMFC,0,none,8904,8924,8872,0.005861136158701541
2020-05-02,BNTX,0,none,9737,9758,9737,0.0021567217828899476
2020-03-28,GHSI,0,none,18783,19297,18784,0.027310477001703637
2020-04-27,HMC,0,none,11998,12142,11895,0.02076502732240426
2020-04-21,NAK,0,none,19331,19540,19327,0.011020851658301911
2020-04-01,NXTD,0,none,14745,14741,14735,4.07193756362334e-4
2020-05-12,OXLC,0,none,10850,10998,10481,0.049327354260089606
2020-05-15,BEP,0,none,8006,8071,7960,0.013944723618090515
2020-03-20,CJJD,0,none,1679,1675,1679,-0.002382370458606342
2020-03-30,CARV,0,none,463,465,459,0.013071895424836555
2020-04-13,GNC,0,none,18095,19086,17134,0.11392552818956458
2020-03-14,OVID,0,none,5634,5628,5635,-0.001242236024844745
2020-04-25,INUV,0,none,3666,3716,3666,0.013638843426077463
2020-05-01,VISL,0,none,37301,36223,38246,-0.052894420331537906
2020-03-09,ARKK,0,none,5234,5221,5273,-0.009861558884885269
2020-05-14,CRBP,0,none,70165,71048,70249,0.011373827385443125
2020-03-09,ICLN,0,none,13346,13316,13404,-0.00656520441659203
2020-05-11,APLE,0,none,30335,30716,29938,0.025987039882423568
2020-03-19,TBIO,0,none,1170,1160,1177,-0.014443500424808797
2020-03-23,MGI,0,none,7855,7950,7778,0.022113653895603047
2020-05-21,LTM,0,none,13416,13714,12692,0.08052316419792005
2020-04-03,MTDR,0,none,13936,14118,14176,-0.004091422121896171
2020-03-13,PACD,0,none,13696,14223,13208,0.07684736523319202
2020-03-25,OGI,0,none,60429,63600,59049,0.07707158461616626
2020-05-14,BORR,0,none,10868,11098,10847,0.023140038720383505
2020-05-30,OGI,0,none,129381,131409,129385,0.015643235305483616
2020-05-11,HL,0,none,5015,5018,4984,0.006821829855537809
2020-04-26,RHHBY,0,none,18621,18611,18622,-5.906991730211253e-4
2020-03-16,IDEX,0,none,4097,4175,4074,0.024791359842906147
2020-05-14,BZUN,0,none,8007,8037,8005,0.003997501561524119
2020-05-11,CPE,0,none,85453,87248,82514,0.05737208231330437
2020-05-21,VWO,0,none,15973,16012,15935,0.0048321305302791995
2020-04-13,VSLR,0,none,99497,100055,99200,0.008618951612903158
2020-04-03,AGNC,0,none,17484,17700,17240,0.026682134570765736
2020-05-05,STOR,0,none,17309,17352,17001,0.020645844362096266
2020-05-11,QEP,0,none,10095,10010,10131,-0.011943539630836053
2020-04-23,ADMA,0,none,4640,4498,4669,-0.03662454487042188
